Cod SIRUTA;Numele localitatii;Mediu;Cod judet;Numele localitatii superioare
36694;CARASA;Rural;BT;CORLATENI
38090;CATAMARESTI;Rural;BT;MIHAI EMINESCU
38107;CATAMARESTI-DEAL;Rural;BT;MIHAI EMINESCU
36596;CERBU;Rural;BT;COPALAU
39088;CERCHEJENI;Rural;BT;BLINDESTI
39284;CERNESTI;Rural;BT;TODIRENI
38116;CERVICESTI;Rural;BT;MIHAI EMINESCU
38125;CERVICESTI-DEAL;Rural;BT;MIHAI EMINESCU
39097;CHELIS;Rural;BT;SULITA
36104;CHISCARENI;Rural;BT;ORAS SAVENI
38438;CHITOVENI;Rural;BT;FLAMANZI
38759;CINGHINIIA;Rural;BT;RIPICENI
39355;CIRITEI;Rural;BT;TRUSESTI
37137;CISMANESTI;Rural;BT;DOBARCENI
35857;CISMEA;Rural;BT;RACHITI
38349;CODRENI;Rural;BT;MILEANCA
36541;CONCESTI;Rural;BT;CONCESTI
36578;COPALAU;Rural;BT;COPALAU
36658;CORDARENI;Rural;BT;CORDARENI
37690;CORJAUTI;Rural;BT;HILISEU-HORIA
36685;CORLATENI;Rural;BT;CORLATENI
36765;CORNI;Rural;BT;CORNI
35866;COSTESTI;Rural;BT;RACHITI
37887;COSTINESTI;Rural;BT;LEORDA
36168;COSTIUGENI;Rural;BT;ALBESTI
36603;COSULA;Rural;BT;COSULA
36346;COSULENI;Rural;BT;BALUSENI
38839;COTARGACI;Rural;BT;ROMA
36612;COTU;Rural;BT;COPALAU
36836;COTU MICULINTI;Rural;BT;COTUSCA
36818;COTUSCA;Rural;BT;COTUSCA
36845;CRASNALEUCA;Rural;BT;COTUSCA
36916;CRISTESTI;Rural;BT;CRISTESTI
36961;CRISTINESTI;Rural;BT;CRISTINESTI
38134;CUCORANI;Rural;BT;MIHAI EMINESCU
37262;CUCUTENI;Rural;BT;DURNESTI
35768;CURTESTI;Rural;BT;CURTESTI
39676;CUZA VODA;Rural;BT;VIISOARA
38517;CUZLAU;Rural;BT;PALTINIS
38474;DACIA;Rural;BT;NICSENI
38866;DAMIDENI;Rural;BT;ROMANESTI
35955;DARABANI;Urban;BT;ORAS DARABANI
39854;DAVIDOAIA;Rural;BT;VORNICENI
39863;DEALU CRUCII;Rural;BT;VORNICENI
36024;DEALU MARE;Urban;BT;MUNICIPIUL DOROHOI
37020;DERSCA;Rural;BT;DERSCA
36701;DIMACHENI;Rural;BT;DIMACHENI
36248;DIMITRIE CANTEMIR;Rural;BT;AVRAMENI
37066;DINGENI;Rural;BT;DANGENI
37119;DOBARCENI;Rural;BT;DOBARCENI
38697;DOINA;Rural;BT;RAUSENI
37896;DOLINA;Rural;BT;LEORDA
38483;DOROBANTI;Rural;BT;NICSENI
36015;DOROHOI;Urban;BT;MUNICIPIUL DOROHOI
39104;DRACSANI;Rural;BT;SULITA
37752;DRAGALINA;Rural;BT;HLIPICENI
36989;DRAGALINA;Rural;BT;CRISTINESTI
37182;DRAGUSENI;Rural;BT;DRAGUSENI
36355;DRAXINI;Rural;BT;BALUSENI
39364;DRISLEA;Rural;BT;TRUSESTI
37841;DUMBRAVITA;Rural;BT;IBANESTI
37404;DUMENI;Rural;BT;GEORGE ENESCU
38946;DURNESTI;Rural;BT;SANTA MARE
39462;DURNESTI;Rural;BT;UNGURENI
37226;DURNESTI;Rural;BT;DURNESTI
35973;ESANCA;Rural;BT;ORAS DARABANI
37299;FLAMANZI;Urban;BT;FLAMANZI
37985;FLONDORA;Rural;BT;MANOLEASA
39293;FLORESTI;Rural;BT;TODIRENI
37333;FRUMUSICA;Rural;BT;FRUMUSICA
36998;FUNDU HERTII;Rural;BT;CRISTINESTI
37574;GALBENI;Rural;BT;HAVARNA
37583;GARBENI;Rural;BT;HAVARNA
39300;GARBESTI;Rural;BT;TODIRENI
37486;GEORGE COSBUC;Rural;BT;GORBANESTI
37422;GEORGE ENESCU;Rural;BT;GEORGE ENESCU
36854;GHIRENI;Rural;BT;COTUSCA
37468;GORBANESTI;Rural;BT;GORBANESTI
39630;GOROVEI;Rural;BT;VACULESTI
36667;GRIVITA;Rural;BT;CORDARENI
37271;GURANDA;Rural;BT;DURNESTI
37627;HANESTI;Rural;BT;HANESTI
37556;HAVARNA;Rural;BT;HAVARNA
37707;HILISEU-CLOSCA;Rural;BT;HILISEU-HORIA
37716;HILISEU-CRISAN;Rural;BT;HILISEU-HORIA
37681;HILISEU-HORIA;Rural;BT;HILISEU-HORIA
37743;HLIPICENI;Rural;BT;HLIPICENI
38394;HORIA;Rural;BT;MITOC
39140;HORLACENI;Rural;BT;SENDRICENI
38526;HORODISTEA;Rural;BT;PALTINIS
39765;HRISCANI;Rural;BT;VLADENI
37789;HUDESTI;Rural;BT;HUDESTI
35795;HUDUM;Rural;BT;CURTESTI
37075;HULUB;Rural;BT;DANGENI
38562;HULUBESTI;Rural;BT;POMARLA
39774;HUTANI;Rural;BT;VLADENI
37084;IACOBENI;Rural;BT;DANGENI
39248;IBANEASA;Rural;BT;STIUBIENI
37832;IBANESTI;Rural;BT;IBANESTI
36257;ICHIMENI;Rural;BT;AVRAMENI
39890;ICUSENI;Rural;BT;VORONA
37725;IEZER;Rural;BT;HILISEU-HORIA
38955;ILISENI;Rural;BT;SANTA MARE
39373;IONASENI;Rural;BT;TRUSESTI
39710;IONASENI;Rural;BT;VARFU CAMPULUI
37994;IORGA;Rural;BT;MANOLEASA
38072;IPOTESTI;Rural;BT;MIHAI EMINESCU
39319;IURESTI;Rural;BT;TODIRENI
39006;IZVOARE;Rural;BT;SUHARAU
36177;JIJIA;Rural;BT;ALBESTI
39907;JOLDESTI;Rural;BT;VORONA
38768;LEHNESTI;Rural;BT;RIPICENI
37869;LEORDA;Rural;BT;LEORDA
36514;LIBERTATEA;Rural;BT;CALARASI
35982;LISMANITA;Rural;BT;ORAS DARABANI
39015;LISNA;Rural;BT;SUHARAU
37146;LIVADA;Rural;BT;DOBARCENI
38009;LIVENI;Rural;BT;MANOLEASA
38018;LOTURI;Rural;BT;MANOLEASA
36033;LOTURI ENESCU;Urban;BT;MUNICIPIUL DOROHOI
37039;LOZNA;Rural;BT;LOZNA
37921;LUNCA;Rural;BT;LUNCA
39729;LUNCA;Rural;BT;VARFU CAMPULUI
38615;LUPARIA;Rural;BT;PRAJENI
35802;MANASTIREA DOAMNEI;Rural;BT;CURTESTI
39578;MANASTIRENI;Rural;BT;UNTENI
39480;MANDRESTI;Rural;BT;UNGURENI
39783;MANDRESTI;Rural;BT;VLADENI
37967;MANOLEASA;Rural;BT;MANOLEASA
38027;MANOLEASA-PRUT;Rural;BT;MANOLEASA
38143;MANOLESTI;Rural;BT;MIHAI EMINESCU
36186;MASCATENI;Rural;BT;ALBESTI
36710;MATEIENI;Rural;BT;DIMACHENI
36783;MESTEACAN;Rural;BT;CORNI
37495;MIHAI EMINESCU;Rural;BT;GORBANESTI
39471;MIHAI VITEAZU;Rural;BT;UNGURENI
36863;MIHAIL KOGALNICEANU;Rural;BT;COTUSCA
38170;MIHAILENI;Rural;BT;MIHAILENI
38250;MIHALASENI;Rural;BT;MIHALASENI
38330;MILEANCA;Rural;BT;MILEANCA
38624;MILETIN;Rural;BT;PRAJENI
38651;MIORCANI;Rural;BT;RADAUTI-PRUT
39818;MIRON COSTIN;Rural;BT;VLASINESTI
37903;MITOC;Rural;BT;LEORDA
38385;MITOC;Rural;BT;MITOC
37814;MLENAUTI;Rural;BT;HUDESTI
37645;MOARA JORII;Rural;BT;HANESTI
38777;MOVILA RUPTA;Rural;BT;RIPICENI
36550;MOVILENI;Rural;BT;CONCESTI
37155;MURGUTA;Rural;BT;DOBARCENI
38278;NASTASE;Rural;BT;MIHALASENI
39257;NEGRENI;Rural;BT;STIUBIENI
38287;NEGRESTI;Rural;BT;MIHALASENI
36872;NICHITENI;Rural;BT;COTUSCA
38410;NICOLAE BALCESCU;Urban;BT;FLAMANZI
36881;NICOLAE BALCESCU;Rural;BT;COTUSCA
38465;NICSENI;Rural;BT;NICSENI
37592;NICULCEA;Rural;BT;HAVARNA
36925;ONEAGA;Rural;BT;CRISTESTI
35811;ORASENI-DEAL;Rural;BT;CURTESTI
35820;ORASENI-VALE;Rural;BT;CURTESTI
39024;OROFTIANA;Rural;BT;SUHARAU
39159;PADURENI;Rural;BT;SENDRICENI
36621;PADURENI;Rural;BT;COSULA
38508;PALTINIS;Rural;BT;PALTINIS
36266;PANAITOAIA;Rural;BT;AVRAMENI
38205;PARAU NEGRU;Rural;BT;MIHAILENI
39382;PASATENI;Rural;BT;TRUSESTI
38296;PAUN;Rural;BT;MIHALASENI
36113;PETRICANI;Rural;BT;ORAS SAVENI
36523;PLESANI;Rural;BT;CALARASI
39033;PLEVNA;Rural;BT;SUHARAU
39499;PLOPENII MARI;Rural;BT;UNGURENI
39505;PLOPENII MICI;Rural;BT;UNGURENI
36729;PODENI;Rural;BT;CORLATENI
37191;PODRIGA;Rural;BT;DRAGUSENI
38704;POGORASTI;Rural;BT;RAUSENI
37315;POIANA;Urban;BT;FLAMANZI
39916;POIANA;Rural;BT;VORONA
37002;POIANA;Rural;BT;CRISTINESTI
36391;POIANA;Rural;BT;BRAESTI
38553;POMARLA;Rural;BT;POMARLA
37431;POPENI;Rural;BT;GEORGE ENESCU
36408;POPENI;Rural;BT;BRAESTI
38786;POPOAIA;Rural;BT;RIPICENI
38599;PRAJENI;Rural;BT;PRAJENI
38447;PRISACANI;Rural;BT;FLAMANZI
36042;PROGRESUL;Urban;BT;MUNICIPIUL DOROHOI
36890;PUTURENI;Rural;BT;COTUSCA
35848;RACHITI;Rural;BT;RACHITI
38571;RACOVAT;Rural;BT;POMARLA
38642;RADAUTI-PRUT;Rural;BT;RADAUTI-PRUT
37351;RADENI;Rural;BT;FRUMUSICA
38964;RANGHILESTI;Rural;BT;SANTA MARE
38973;RANGHILESTI-DEAL;Rural;BT;SANTA MARE
38802;RASCA;Rural;BT;RIPICENI
38688;RAUSENI;Rural;BT;RAUSENI
36738;RECIA-VERBIA;Rural;BT;DIMACHENI
38660;REDIU;Rural;BT;RADAUTI-PRUT
38713;REDIU;Rural;BT;RAUSENI
38740;RIPICENI;Rural;BT;RIPICENI
38795;RIPICENII VECHI;Rural;BT;RIPICENI
38214;ROGOJESTI;Rural;BT;MIHAILENI
38820;ROMA;Rural;BT;ROMA
38857;ROMANESTI;Rural;BT;ROMANESTI
38875;ROMANESTI-VALE;Rural;BT;ROMANESTI
35875;ROSIORI;Rural;BT;RACHITI
38036;SADOVENI;Rural;BT;MANOLEASA
38900;SANTA MARE;Rural;BT;SANTA MARE
36792;SARAFINESTI;Rural;BT;CORNI
38303;SARATA;Rural;BT;MIHALASENI
38884;SARATA;Rural;BT;ROMANESTI
37654;SARATA-BASARAB;Rural;BT;HANESTI
37208;SARATA-DRAGUSENI;Rural;BT;DRAGUSENI
39827;SARBI;Rural;BT;VLASINESTI
36122;SAT NOU;Urban;BT;ORAS SAVENI
39649;SAUCENITA;Rural;BT;VACULESTI
36079;SAVENI;Urban;BT;ORAS SAVENI
36934;SCHIT-ORASENI;Rural;BT;CRISTESTI
38358;SCUTARI;Rural;BT;MILEANCA
38367;SELISTEA;Rural;BT;MILEANCA
37379;SENDRENI;Rural;BT;FRUMUSICA
39131;SENDRICENI;Rural;BT;SENDRICENI
38045;SERPENITA;Rural;BT;MANOLEASA
37501;SILISCANI;Rural;BT;GORBANESTI
35900;SILISTEA;Rural;BT;STAUCENI
38535;SLOBOZIA;Rural;BT;PALTINIS
36444;SLOBOZIA;Rural;BT;BROSCAUTI
37663;SLOBOZIA HANESTI;Rural;BT;HANESTI
38312;SLOBOZIA SILISCANI;Rural;BT;MIHALASENI
39042;SMARDAN;Rural;BT;SUHARAU
37510;SOCRUJENI;Rural;BT;GORBANESTI
39113;SOLDANESTI;Rural;BT;BLINDESTI
39587;SOROCENI;Rural;BT;UNTENI
37440;STANCA;Rural;BT;GEORGE ENESCU
39202;STANCA;Urban;BT;STEFANESTI
38152;STANCESTI;Rural;BT;MIHAI EMINESCU
35893;STAUCENI;Rural;BT;STAUCENI
39177;STEFANESTI;Urban;BT;STEFANESTI
39211;STEFANESTI-SAT;Urban;BT;STEFANESTI
39239;STIUBIENI;Rural;BT;STIUBIENI
38722;STOLNICENI;Rural;BT;RAUSENI
37360;STORESTI;Rural;BT;FRUMUSICA
37093;STRAHOTIN;Rural;BT;DANGENI
37048;STRATENI;Rural;BT;LOZNA
37930;STROIESTI;Rural;BT;LUNCA
38991;SUHARAU;Rural;BT;SUHARAU
39060;SULITA;Rural;BT;SULITA
36630;SUPITCA;Rural;BT;COSULA
38223;TALPA;Rural;BT;CANDESTI
37609;TATARASENI;Rural;BT;HAVARNA
39514;TAUTESTI;Rural;BT;UNGURENI
36275;TIMUS;Rural;BT;AVRAMENI
35919;TOCILENI;Rural;BT;STAUCENI
39275;TODIRENI;Rural;BT;TODIRENI
39337;TRUSESTI;Rural;BT;TRUSESTI
36195;TUDOR VLADIMIRESCU;Rural;BT;ALBESTI
36284;TUDOR VLADIMIRESCU;Rural;BT;AVRAMENI
39408;TUDORA;Rural;BT;TUDORA
39426;UNGURENI;Rural;BT;UNGURENI
36943;UNGUROAIA;Rural;BT;CRISTESTI
39541;UNTENI;Rural;BT;UNTENI
39621;VACULESTI;Rural;BT;VACULESTI
39596;VALEA GRAJDULUI;Rural;BT;UNTENI
37538;VANATORI;Rural;BT;GORBANESTI
39701;VARFU CAMPULUI;Rural;BT;VARFU CAMPULUI
39523;VICOLENI;Rural;BT;UNGURENI
37761;VICTORIA;Rural;BT;HLIPICENI
35928;VICTORIA;Rural;BT;STAUCENI
37529;VIFORENI;Rural;BT;GORBANESTI
39667;VIISOARA;Rural;BT;VIISOARA
39685;VIISOARA MICA;Rural;BT;VIISOARA
36417;VILCELELE;Rural;BT;BRAESTI
38232;VITCANI;Rural;BT;CANDESTI
36747;VLADENI;Rural;BT;CORLATENI
39747;VLADENI;Rural;BT;VLADENI
37388;VLADENI-DEAL;Rural;BT;FRUMUSICA
39809;VLASINESTI;Rural;BT;VLASINESTI
39845;VORNICENI;Rural;BT;VORNICENI
39881;VORONA;Rural;BT;VORONA
39925;VORONA MARE;Rural;BT;VORONA
39934;VORONA-TEODORU;Rural;BT;VORONA
39603;VULTURENI;Rural;BT;UNTENI
38054;ZAHORENI;Rural;BT;MANOLEASA
36364;ZAICESTI;Rural;BT;BALUSENI
37949;ZLATUNOAIA;Rural;BT;LUNCA
36293;ZOITANI;Rural;BT;AVRAMENI
42209;ACRIS;Rural;BV;VAMA BUZAULUI
40535;APATA;Rural;BV;APATA
41408;ARINI;Rural;BV;MAIERUS
41569;AUGUSTIN;Rural;BV;ORMENIS
41961;BARCUT;Rural;BV;SOARS
40553;BECLEAN;Rural;BV;BECLEAN
40786;BEIA;Rural;BV;CATA
41756;BERIVOI;Rural;BV;RECEA
40615;BOD;Rural;BV;BOD
41195;BOGATA OLTEANA;Rural;BV;HOGHIZ
40562;BOHOLT;Rural;BV;BECLEAN
40642;BRAN;Rural;BV;BRAN
40205;BRASOV;Urban;BV;MUNICIPIUL BRASOV
41364;BREAZA;Rural;BV;LISA
41872;BUCIUM;Rural;BV;SINCA
40697;BUDILA;Rural;BV;BUDILA
40713;BUNESTI;Rural;BV;BUNESTI
42218;BUZAIEL;Rural;BV;VAMA BUZAULUI
40571;CALBOR;Rural;BV;BECLEAN
42021;CARPINIS;Rural;BV;TARLUNGENI
40777;CATA;Rural;BV;CATA
41499;CHEIA;Rural;BV;MOIECIU
42325;CINCSOR;Rural;BV;VOILA
40839;CINCU;Rural;BV;CINCU
42094;COBOR;Rural;BV;TICUSU
40250;CODLEA;Urban;BV;MUNICIPIUL CODLEA
42414;COLONIA 1 MAI;Rural;BV;VULCAN
40624;COLONIA BOD;Rural;BV;BOD
40973;COLONIA RECONSTRUCTIA;Rural;BV;FELDIOARA
40866;COMANA DE JOS;Rural;BV;COMANA
40875;COMANA DE SUS;Rural;BV;COMANA
41131;COPACEL;Rural;BV;HARSENI
42129;CORBI;Rural;BV;UCEA
40884;CRIHALMA;Rural;BV;COMANA
40919;CRISTIAN;Rural;BV;CRISTIAN
40722;CRIT;Rural;BV;BUNESTI
41051;CRIZBAV;Rural;BV;CRIZBAV
41202;CUCIULATA;Rural;BV;HOGHIZ
41060;CUTUS;Rural;BV;CRIZBAV
41300;DACIA;Rural;BV;JIBERT
42174;DAISOARA;Rural;BV;UNGRA
42227;DALGHIU;Rural;BV;VAMA BUZAULUI
41765;DEJANI;Rural;BV;RECEA
41211;DOPCA;Rural;BV;HOGHIZ
42254;DRAGUS;Rural;BV;VISTEA
40795;DRAUSENI;Rural;BV;CATA
42334;DRIDIF;Rural;BV;VOILA
41505;DRUMUL CARULUI;Rural;BV;MOIECIU
40937;DUMBRAVITA;Rural;BV;DUMBRAVITA
40287;FAGARAS;Urban;BV;MUNICIPIUL FAGARAS
41220;FANTANA;Rural;BV;HOGHIZ
40964;FELDIOARA;Rural;BV;FELDIOARA
42138;FELDIOARA;Rural;BV;UCEA
41970;FELMER;Rural;BV;SOARS
40410;FISER;Urban;BV;ORAS RUPEA
41006;FUNDATA;Rural;BV;FUNDATA
41015;FUNDATICA;Rural;BV;FUNDATA
40223;GHIMBAV;Urban;BV;ORAS GHIMBAV
41319;GRANARI;Rural;BV;JIBERT
41596;GRID;Rural;BV;PARAU
41774;GURA VAII;Rural;BV;RECEA
41042;HALCHIU;Rural;BV;HALCHIU
41836;HALMEAG;Rural;BV;SERCAIA
41097;HARMAN;Rural;BV;HARMAN
41122;HARSENI;Rural;BV;HARSENI
41186;HOGHIZ;Rural;BV;HOGHIZ
42423;HOLBAV;Rural;BV;VULCAN
41257;HOMOROD;Rural;BV;HOMOROD
40580;HUREZ;Rural;BV;BECLEAN
41783;IASI;Rural;BV;RECEA
41435;ILENI;Rural;BV;MANDRA
40802;IONESTI;Rural;BV;CATA
41293;JIBERT;Rural;BV;JIBERT
41266;JIMBOR;Rural;BV;HOMOROD
41355;LISA;Rural;BV;LISA
41328;LOVNIC;Rural;BV;JIBERT
42343;LUDISOR;Rural;BV;VOILA
41685;LUNCA CALNICULUI;Rural;BV;PREJMER
41239;LUPSA;Rural;BV;HOGHIZ
40599;LUTA;Rural;BV;BECLEAN
41514;MAGURA;Rural;BV;MOIECIU
41391;MAIERUS;Rural;BV;MAIERUS
41140;MALINIS;Rural;BV;HARSENI
41426;MANDRA;Rural;BV;MANDRA
41159;MARGINENI;Rural;BV;HARSENI
41729;MATEIAS;Rural;BV;RACOS
41275;MERCHEASA;Rural;BV;HOMOROD
40731;MESENDORF;Rural;BV;BUNESTI
41480;MOIECIU DE JOS;Rural;BV;MOIECIU
41523;MOIECIU DE SUS;Rural;BV;MOIECIU
41881;OHABA;Rural;BV;SINCA
42263;OLTET;Rural;BV;VISTEA
41550;ORMENIS;Rural;BV;ORMENIS
40811;PALOS;Rural;BV;CATA
41649;PALTIN;Rural;BV;SINCA NOUA
41587;PARAU;Rural;BV;PARAU
40321;PARIUL RECE;Urban;BV;ORAS PREDEAL
41890;PERSANI;Rural;BV;SINCA
41532;PESTERA;Rural;BV;MOIECIU
41104;PODU OLTULUI;Rural;BV;HARMAN
42432;POIANA BRASOV;Urban;BV;MUNICIPIUL BRASOV
41630;POIANA MARULUI;Rural;BV;POIANA MARULUI
41373;POJORTA;Rural;BV;LISA
40312;PREDEAL;Urban;BV;ORAS PREDEAL
40651;PREDELUT;Rural;BV;BRAN
41676;PREJMER;Rural;BV;PREJMER
42030;PURCARENI;Rural;BV;TARLUNGENI
41710;RACOS;Rural;BV;RACOS
40376;RASNOV;Urban;BV;ORAS RASNOV
41747;RECEA;Rural;BV;RECEA
41444;RIUSOR;Rural;BV;MANDRA
40740;ROADES;Rural;BV;BUNESTI
41989;RODBAV;Rural;BV;SOARS
40982;ROTBAV;Rural;BV;FELDIOARA
42272;RUCAR;Rural;BV;VISTEA
40401;RUPEA;Urban;BV;ORAS RUPEA
40447;SACELE;Urban;BV;MUNICIPIUL SACELE
41934;SANPETRU;Rural;BV;SANPETRU
41792;SASCIORI;Rural;BV;RECEA
41079;SATU NOU;Rural;BV;HALCHIU
41809;SAVASTRENI;Rural;BV;RECEA
41168;SEBES;Rural;BV;HARSENI
41998;SELISTAT;Rural;BV;SOARS
41827;SERCAIA;Rural;BV;SERCAIA
41907;SERCAITA;Rural;BV;SINCA
42352;SIMBATA DE JOS;Rural;BV;VOILA
42361;SIMBATA DE SUS;Rural;BV;SAMBATA DE SUS
40679;SIMON;Rural;BV;BRAN
41658;SINCA NOUA;Rural;BV;SINCA NOUA
41863;SINCA VECHE;Rural;BV;SINCA
41024;SIRNEA;Rural;BV;FUNDATA
41952;SOARS;Rural;BV;SOARS
40660;SOHODOL;Rural;BV;BRAN
41453;SONA;Rural;BV;MANDRA
42370;STATIUNEA CLIMATERICA SIMBATA;Rural;BV;SAMBATA DE SUS
41694;STUPINII PREJMERULUI;Rural;BV;PREJMER
42012;TARLUNGENI;Rural;BV;TARLUNGENI
42067;TELIU;Rural;BV;TELIU
40893;TICUSU NOU;Rural;BV;COMANA
42085;TICUSU VECHI;Rural;BV;TICUSU
40330;TIMISU DE JOS;Urban;BV;ORAS PREDEAL
40349;TIMISU DE SUS;Urban;BV;ORAS PREDEAL
40848;TOARCLA;Rural;BV;CINCU
41462;TODERITA;Rural;BV;MANDRA
40517;TOHANU NOU;Urban;BV;ORAS ZARNESTI
42110;UCEA DE JOS;Rural;BV;UCEA
42147;UCEA DE SUS;Rural;BV;UCEA
42165;UNGRA;Rural;BV;UNGRA
41845;VAD;Rural;BV;SERCAIA
41916;VALCEA;Rural;BV;SINCA
41337;VALENI;Rural;BV;JIBERT
42192;VAMA BUZAULUI;Rural;BV;VAMA BUZAULUI
41603;VENETIA DE JOS;Rural;BV;PARAU
41612;VENETIA DE SUS;Rural;BV;PARAU
40474;VICTORIA;Urban;BV;ORAS VICTORIA
40759;VISCRI;Rural;BV;BUNESTI
42245;VISTEA DE JOS;Rural;BV;VISTEA
42281;VISTEA DE SUS;Rural;BV;VISTEA
42290;VISTISOARA;Rural;BV;VISTEA
40946;VLADENI;Rural;BV;DUMBRAVITA
42316;VOILA;Rural;BV;VOILA
42389;VOIVODENI;Rural;BV;VOILA
42405;VULCAN;Rural;BV;VULCAN
40508;ZARNESTI;Urban;BV;ORAS ZARNESTI
42049;ZIZIN;Rural;BV;TARLUNGENI
49563;ALBESTI;Rural;BZ;SMEENI
46037;ALDENI;Rural;BZ;CERNATESTI
45691;ALEXANDRU ODOBESCU;Rural;BZ;BUDA
48799;ALICENI;Rural;BZ;POSTA CALNAU
46457;ALUNIS;Rural;BZ;COLTI
44952;AMARA;Rural;BZ;BALTA ALBA
44872;AMARU;Rural;BZ;AMARU
46572;ANINI;Rural;BZ;COZIENI
45021;ARBANASI;Rural;BZ;BECENI
49457;ARCANU;Rural;BZ;SCUTELNICI
49787;BABENI;Rural;BZ;TOPLICENI
45129;BACENI;Rural;BZ;BERCA
45637;BADENI;Rural;BZ;BREAZA
48575;BADILA;Rural;BZ;PARSCOV
46046;BAESTI;Rural;BZ;CERNATESTI
44961;BAILE;Rural;BZ;BALTA ALBA
49974;BAJANI;Rural;BZ;VADU PASII
44998;BALACEANU;Rural;BZ;BALACEANU
49572;BALAIA;Rural;BZ;SMEENI
46581;BALANESTI;Rural;BZ;COZIENI
45842;BALHACU;Rural;BZ;C.A. ROSETTI
44943;BALTA ALBA;Rural;BZ;BALTA ALBA
49331;BALTA TOCILA;Rural;BZ;SCORTOASA
45263;BALTAGARI;Rural;BZ;BISOCA
49910;BALTARETI;Rural;BZ;ULMENI
45833;BALTENI;Rural;BZ;C.A. ROSETTI
49091;BANITA;Rural;BZ;SAGEATA
46331;BARASTI;Rural;BZ;CISLAU
49661;BARBUNCESTI;Rural;BZ;TISAU
46206;BASCA CHIOJDULUI;Rural;BZ;CHIOJDU
47934;BASCA ROZILEI;Urban;BZ;ORAS NEHOIU
45771;BASCENII DE JOS;Rural;BZ;CALVINI
45780;BASCENII DE SUS;Rural;BZ;CALVINI
47836;BATOGU;Rural;BZ;MURGESTI
45012;BECENI;Rural;BZ;BECENI
49340;BECIU;Rural;BZ;SCORTOASA
48245;BEGU;Rural;BZ;PANATAU
49108;BEILIC;Rural;BZ;SAGEATA
46787;BENTU;Rural;BZ;GALBINASI
45110;BERCA;Rural;BZ;BERCA
46590;BERCESTI;Rural;BZ;COZIENI
47658;BESLII;Rural;BZ;MANZALESTI
45254;BISOCA;Rural;BZ;BISOCA
45343;BLAJANI;Rural;BZ;BLAJANI
46395;BOBOC;Rural;BZ;COCHIRLEANCA
50246;BODINESTI;Rural;BZ;VINTILA VODA
45370;BOLDU;Rural;BZ;BOLDU
49117;BORDUSANI;Rural;BZ;SAGEATA
45398;BOZIORU;Rural;BZ;BOZIORU
50120;BRADEANCA;Rural;BZ;VERNESTI
45502;BRADEANU;Rural;BZ;BRADEANU
45548;BRAESTI;Rural;BZ;BRAESTI
49466;BRAGAREASA;Rural;BZ;SCUTELNICI
45557;BRATILESTI;Rural;BZ;BRAESTI
45628;BREAZA;Rural;BZ;BREAZA
47202;BREBU;Rural;BZ;LOPATARI
45682;BUDA;Rural;BZ;BUDA
46340;BUDA CRACIUNESTI;Rural;BZ;CISLAU
46126;BUDESTI;Rural;BZ;CHILIILE
46509;BUDISTENI;Rural;BZ;COSTESTI
48940;BUDREA;Rural;BZ;RACOVITENI
45405;BUDUILE;Rural;BZ;BOZIORU
47667;BUSTEA;Rural;BZ;MANZALESTI
44827;BUZAU;Urban;BZ;MUNICIPIUL BUZAU
45824;C.A. ROSETTI;Rural;BZ;C.A. ROSETTI
48762;CALDARASTI;Urban;BZ;ORAS POGOANELE
46055;CALDARUSA;Rural;BZ;CERNATESTI
46885;CALDARUSEANCA;Rural;BZ;GLODEANU SARAT
48343;CALEA CHIOJDULUI;Rural;BZ;PATARLAGELE
48502;CALTESTI;Rural;BZ;PIETROASELE
49581;CALTUNA;Rural;BZ;SMEENI
45762;CALVINI;Rural;BZ;CALVINI
44881;CAMPENI;Rural;BZ;AMARU
47435;CAMPULUNGEANCA;Rural;BZ;MARGARITESTI
50139;CANDESTI;Rural;BZ;VERNESTI
45897;CANESTI;Rural;BZ;CANESTI
47391;CAPATANESTI;Rural;BZ;MARACINENI
48049;CAPU SATULUI;Rural;BZ;ODAILE
47328;CARAGELE;Rural;BZ;LUCIU
49251;CARATNAU DE JOS;Rural;BZ;SARULESTI
49260;CARATNAU DE SUS;Rural;BZ;SARULESTI
46947;CARLIGU MARE;Rural;BZ;GLODEANU-SILISTEA
46956;CARLIGU MIC;Rural;BZ;GLODEANU-SILISTEA
50148;CARLOMANESTI;Rural;BZ;VERNESTI
45030;CARPINISTEA;Rural;BZ;BECENI
49518;CASOCA;Rural;BZ;SIRIU
46938;CASOTA;Rural;BZ;GLODEANU-SILISTEA
46215;CATIASU;Rural;BZ;CHIOJDU
45968;CATINA;Rural;BZ;CATINA
49796;CEAIRU;Rural;BZ;TOPLICENI
46028;CERNATESTI;Rural;BZ;CERNATESTI
46117;CHILIILE;Rural;BZ;CHILIILE
46199;CHIOJDU;Rural;BZ;CHIOJDU
48183;CHIPERU;Rural;BZ;PARDOSI
47943;CHIRLESTI;Urban;BZ;ORAS NEHOIU
46260;CILIBIA;Rural;BZ;CILIBIA
47471;CIOBANOAIA;Rural;BZ;MEREI
46607;CIOCANESTI;Rural;BZ;COZIENI
47792;CIORANCA;Rural;BZ;MOVILA BANULUI
47676;CIRESU;Rural;BZ;MANZALESTI
46322;CISLAU;Rural;BZ;CISLAU
47355;CIUTA;Rural;BZ;MAGURA
49929;CLONDIRU;Rural;BZ;ULMENI
